Country,EdLevel,YearsCodePro,Salary
4,0,6.0,80555.0
3,0,28.0,236294.0
4,0,9.0,74110.0
11,0,1.0,78300.0
11,1,35.0,150000.0
8,0,4.0,64444.0
4,2,7.0,56925.0
11,0,5.0,165000.0
11,0,13.0,150000.0
11,0,10.0,83000.0
4,2,18.0,150369.0
7,0,10.0,68740.0
11,0,23.0,110000.0
8,0,16.0,95541.0
4,2,12.0,90221.0
11,0,32.0,207000.0
4,0,7.0,82703.0
11,0,43.0,210000.0
11,0,8.0,120000.0
8,2,11.0,62296.0
4,2,7.0,69814.0
11,0,15.0,105500.0
11,0,12.0,103000.0
6,0,2.0,33296.0
4,2,6.0,60863.0
11,1,5.0,130000.0
4,0,13.0,98599.0
1,0,8.0,11189.0
2,1,38.0,170828.0
2,0,23.0,145386.0
11,0,3.0,120000.0
11,0,23.0,226000.0
11,2,3.0,127000.0
4,2,15.0,97740.0
11,0,10.0,180000.0
11,0,12.0,142000.0
11,0,19.0,160000.0
9,0,5.0,36000.0
7,2,15.0,152517.0
11,0,9.0,200000.0
9,0,24.0,30074.0
11,2,10.0,230000.0
10,0,20.0,70063.0
2,1,12.0,98135.0
5,0,5.0,19142.0
7,0,13.0,69814.0
9,0,2.0,30000.0
10,0,11.0,121018.0
4,2,7.0,42962.0
4,3,9.0,95592.0
3,2,17.0,85925.0
11,1,32.0,235000.0
11,3,12.0,46000.0
5,0,8.0,41872.0
6,3,6.0,45111.0
11,0,33.0,130000.0
10,0,35.0,104458.0
9,0,7.0,110000.0
1,0,10.0,36365.0
4,2,3.0,56925.0
11,0,18.0,230000.0
1,0,9.0,65271.0
4,2,33.0,144998.0
4,2,9.0,64444.0
11,2,5.0,197000.0
11,3,12.0,70000.0
7,1,4.0,80000.0
6,0,4.0,32222.0
3,2,18.0,112777.0
11,1,22.0,130000.0
11,0,25.0,163000.0
10,1,15.0,95541.0
4,1,16.0,72499.0
11,2,16.0,155000.0
3,0,15.0,42640.0
4,3,34.0,118147.0
11,2,14.0,52840.0
7,1,4.0,171850.0
10,3,11.0,57325.0
4,0,10.0,91295.0
11,0,2.0,77000.0
2,3,6.0,90866.0
11,0,45.0,145000.0
10,3,12.0,138216.0
11,0,15.0,206000.0
9,2,5.0,27231.0
11,0,8.0,142000.0
4,0,10.0,69814.0
11,2,14.0,190000.0
2,1,35.0,116309.0
10,1,17.0,89172.0
11,0,12.0,145000.0
11,0,28.0,175000.0
3,0,11.0,119221.0
4,0,9.0,80555.0
9,1,5.0,24684.0
9,2,5.0,43000.0
11,1,18.0,220000.0
11,2,8.0,250000.0
11,1,9.0,70000.0
2,0,17.0,50885.0
11,0,2.0,85000.0
11,2,8.0,125000.0
10,2,30.0,89108.0
11,0,20.0,135000.0
4,0,22.0,96666.0
10,2,15.0,82802.0
11,1,4.0,185000.0
11,0,36.0,169000.0
9,2,3.0,17772.0
11,0,10.0,153000.0
11,1,3.0,135000.0
4,2,13.0,102036.0
11,0,8.0,140000.0
11,0,19.0,185000.0
11,3,26.0,110000.0
2,3,8.0,94501.0
3,3,20.0,91295.0
11,0,8.0,206000.0
4,1,1.0,12373.0
6,3,3.0,48333.0
4,2,10.0,139628.0
9,0,3.0,40383.0
2,0,12.0,247156.0
7,2,28.0,83777.0
11,0,6.0,155000.0
3,0,1.0,34370.0
6,0,15.0,37592.0
11,1,20.0,215000.0
0,2,15.0,79279.0
11,0,25.0,135000.0
11,0,21.0,200000.0
3,1,14.0,48333.0
10,0,18.0,146496.0
2,1,16.0,181732.0
2,0,8.0,83597.0
4,3,31.0,161109.0
1,0,9.0,29092.0
11,1,26.0,250000.0
11,0,26.0,150000.0
1,0,10.0,13054.0
11,2,28.0,165000.0
3,2,10.0,61222.0
10,0,35.0,106369.0
11,0,30.0,185000.0
4,2,8.0,75184.0
1,3,19.0,29092.0
2,0,10.0,72693.0
11,1,6.0,181000.0
9,2,8.0,59241.0
11,0,17.0,185000.0
4,0,10.0,75184.0
10,0,8.0,86472.0
7,3,9.0,48333.0
3,2,18.0,53703.0
4,2,9.0,83777.0
11,2,14.0,122000.0
11,0,16.0,195000.0
11,1,31.0,190000.0
2,1,6.0,87231.0
2,0,10.0,89412.0
11,0,16.0,229000.0
11,0,6.0,50000.0
4,2,5.0,89147.0
8,0,4.0,42962.0
11,1,30.0,160000.0
11,1,8.0,195000.0
11,2,25.0,160000.0
9,2,8.0,90000.0
11,0,9.0,85000.0
11,3,10.0,120000.0
11,0,9.0,180000.0
11,2,2.0,115000.0
11,0,7.0,98000.0
9,0,8.0,64629.0
7,2,12.0,64444.0
2,0,1.0,107440.0
8,1,8.0,46185.0
9,0,12.0,84000.0
11,0,5.0,65000.0
10,0,11.0,57325.0
10,2,11.0,146496.0
10,0,1.0,48407.0
11,3,29.0,130000.0
4,0,3.0,55851.0
11,0,30.0,250000.0
11,0,3.0,87000.0
11,1,4.0,110000.0
10,0,1.0,82802.0
11,0,4.0,80000.0
11,2,16.0,200000.0
8,1,4.0,45111.0
11,2,8.0,165000.0
1,2,16.0,24616.0
9,2,14.0,18661.0
11,2,38.0,100000.0
11,0,6.0,104000.0
11,2,5.0,134000.0
11,0,1.0,78634.0
11,3,0.5,110000.0
9,2,5.0,12342.0
10,2,18.0,110827.0
10,2,4.0,81528.0
9,0,4.0,30000.0
3,0,16.0,80555.0
11,0,30.0,160000.0
11,0,6.0,130000.0
2,2,19.0,159924.0
10,1,3.0,89172.0
11,1,2.0,84000.0
11,2,10.0,222000.0
10,0,2.0,70063.0
11,0,6.0,180000.0
11,3,6.0,200000.0
4,1,22.0,61222.0
5,0,17.0,68192.0
10,1,3.0,50955.0
11,3,37.0,74000.0
10,0,11.0,110827.0
4,2,9.0,107406.0
11,1,2.0,36000.0
0,0,12.0,62763.0
11,0,2.0,95000.0
11,0,5.0,100000.0
11,2,7.0,175000.0
11,0,11.0,175000.0
11,0,25.0,186000.0
11,2,31.0,165000.0
9,3,3.0,23697.0
2,0,9.0,76328.0
0,0,29.0,85886.0
11,1,25.0,105000.0
11,0,33.0,180000.0
11,1,8.0,172000.0
11,0,19.0,140000.0
0,2,18.0,118919.0
11,3,5.0,159500.0
1,0,4.0,27973.0
0,2,15.0,99099.0
11,1,25.0,160000.0
1,3,33.0,83919.0
11,0,2.0,140000.0
11,3,23.0,170000.0
11,0,6.0,185000.0
0,0,23.0,92492.0
11,2,13.0,54000.0
11,0,44.0,185000.0
0,2,31.0,99099.0
0,1,25.0,165165.0
11,0,5.0,150000.0
11,2,24.0,250000.0
2,0,10.0,175000.0
11,1,28.0,130000.0
1,2,9.0,44757.0
9,1,3.0,20475.0
2,3,7.0,58154.0
11,0,6.0,180000.0
11,2,6.0,180000.0
0,3,6.0,103063.0
11,0,7.0,128000.0
11,0,5.0,100000.0
11,0,6.0,220000.0
11,0,10.0,190000.0
11,2,2.0,120000.0
3,0,3.0,36518.0
11,0,2.0,70000.0
2,0,10.0,87231.0
11,0,20.0,185000.0
11,2,42.0,180000.0
11,1,13.0,210000.0
1,2,17.0,78325.0
0,0,6.0,99099.0
11,0,10.0,150000.0
11,0,22.0,150000.0
11,0,7.0,175000.0
11,3,7.0,60000.0
0,0,1.0,52853.0
0,0,5.0,75976.0
11,0,7.0,172000.0
1,2,15.0,11189.0
10,1,28.0,216559.0
11,1,22.0,165000.0
5,0,12.0,29909.0
11,2,25.0,190000.0
11,0,3.0,240000.0
11,0,23.0,120000.0
11,3,9.0,115000.0
0,2,20.0,89189.0
5,0,20.0,95708.0
4,0,11.0,75184.0
11,1,2.0,89000.0
11,0,10.0,170000.0
11,0,30.0,225400.0
2,2,10.0,167194.0
11,3,7.0,70000.0
11,0,14.0,152000.0
11,1,9.0,175000.0
11,0,13.0,225000.0
0,0,2.0,66066.0
11,2,8.0,125000.0
11,0,12.0,55000.0
1,1,5.0,29092.0
11,1,10.0,203000.0
11,3,6.0,110000.0
11,0,8.0,100000.0
11,0,23.0,110000.0
11,0,20.0,200000.0
11,0,3.0,155000.0
0,0,18.0,79279.0
11,1,4.0,40000.0
11,3,24.0,110000.0
0,0,7.0,99099.0
11,0,18.0,130000.0
11,0,16.0,250000.0
11,1,4.0,62000.0
5,2,12.0,71781.0
5,0,6.0,15074.0
1,0,3.0,13427.0
0,0,25.0,132132.0
0,1,10.0,138739.0
11,3,7.0,80000.0
11,0,10.0,209000.0
11,0,16.0,45000.0
2,0,12.0,98862.0
2,2,16.0,239887.0
0,0,5.0,39640.0
0,2,6.0,54835.0
4,3,25.0,174766.0
11,0,26.0,138000.0
2,0,8.0,114855.0
2,2,17.0,123360.0
0,0,22.0,69369.0
11,0,6.0,156000.0
4,2,17.0,53703.0
0,2,20.0,123543.0
11,0,16.0,140000.0
11,0,9.0,150000.0
5,0,20.0,112457.0
0,0,7.0,75976.0
2,1,11.0,87231.0
11,0,5.0,135000.0
4,2,6.0,118147.0
2,3,6.0,95955.0
11,1,11.0,70000.0
4,0,16.0,118147.0
0,0,1.0,52853.0
11,1,28.0,85000.0
4,1,1.0,32222.0
11,0,6.0,139900.0
11,0,7.0,150000.0
11,2,40.0,148000.0
7,1,40.0,80555.0
5,2,5.0,35890.0
11,1,4.0,40000.0
11,0,3.0,137500.0
4,3,14.0,107406.0
9,2,11.0,98736.0
0,0,20.0,118919.0
11,1,4.0,67500.0
11,0,20.0,200000.0
0,2,2.0,47568.0
11,1,40.0,140000.0
0,3,23.0,99099.0
5,1,5.0,59817.0
11,0,0.5,90000.0
5,0,7.0,35890.0
5,2,11.0,51443.0
11,0,9.0,166000.0
5,2,9.0,23927.0
5,0,8.0,38283.0
5,0,5.0,21534.0
4,2,18.0,123517.0
4,2,7.0,62296.0
10,0,12.0,70063.0
11,0,0.5,60000.0
5,2,0.5,29909.0
5,2,9.0,10049.0
5,0,10.0,38283.0
5,0,11.0,47854.0
5,0,7.0,22731.0
4,3,13.0,78407.0
4,0,5.0,49407.0
5,0,3.0,13160.0
10,3,10.0,207642.0
0,0,4.0,99099.0
8,2,10.0,100962.0
10,1,7.0,68789.0
11,0,23.0,140000.0
9,2,3.0,72000.0
5,0,7.0,35890.0
5,0,9.0,35890.0
2,2,9.0,181732.0
8,3,1.0,19870.0
3,2,0.5,49622.0
4,2,20.0,82703.0
2,3,4.0,87231.0
7,0,9.0,64444.0
4,2,35.0,75184.0
4,2,35.0,118147.0
0,1,10.0,60781.0
11,0,12.0,170000.0
6,1,10.0,53703.0
4,2,28.0,107406.0
10,2,8.0,79617.0
4,1,33.0,93443.0
11,1,7.0,80000.0
4,1,7.0,73036.0
11,1,9.0,190000.0
9,2,9.0,88862.0
5,0,10.0,28712.0
9,1,2.0,24144.0
5,2,14.0,35890.0
4,1,5.0,46185.0
4,0,19.0,91295.0
9,2,2.0,27926.0
10,0,14.0,108280.0
4,3,9.0,96666.0
0,1,3.0,39640.0
6,2,8.0,45111.0
4,1,6.0,50051.0
4,1,6.0,73036.0
4,2,5.0,56072.0
10,0,6.0,114649.0
10,1,6.0,62930.0
9,0,2.0,11108.0
9,3,18.0,80000.0
9,2,8.0,131400.0
5,0,1.0,15553.0
0,0,29.0,82582.0
3,2,5.0,48333.0
9,2,7.0,40814.0
6,1,21.0,37592.0
0,0,4.0,82582.0
10,0,4.0,57325.0
4,1,0.5,42494.0
11,0,10.0,250000.0
